path,version,release_date,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J,Avg_MHz,Busy%,IPC,IRQ,POLL,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,Totl%C0,Any%C0,GFX%C0,CPUGFX%,time_elapsed_sec,CPU_Utilization,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend,CPI,ILP,IPC_perf,cycles,freq_cycles_GHz,instructions,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,cycles,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,SWAP,CODE,DATA,nMaj,nDRT,USED
binaryTrees_21_v4_modified_without_Multithreading,18.0.2-ea,2022-07-19,3.5553065,73.985,62.845,5.885,0.04,627.5,15.8,2.3049999999999997,6258.0,7.0,1.295,0.975,0.095,0.895,0.0,10.565,4.640000000000001,65.92,16.275,0.135,1.225,66.785,83.0,85.5,98.47999999999999,113.02,98.26,1.255,1.145,3.57456924,0.99,0.635,0.13,0.03,0.28,59387486454.0,7767042173.540001,38159358806.4,1811944920.48,16611314949.800001,0.405,6.465,2.33,14846871613.5,3.4285,34366708932.0,0.095,6.585,2.0999999999999996,14846871613.5,34366708932.0,2.2649999999999997,4367.15,1.2265000000000001,14966108463.5,3.4045,260.0,7108300321.5,90271989.0,4367.95,1.2265000000000001,725.5,6108040304.5,6600286.5,0.0,8064024383.5,421471.5,421461.5,9.0,756900440.0,448979669.5,59.5265,8768776575.0,400624016.5,14325695.5,5789584.5,6942536.0,9108388108.0,8198718.5,39752.0,427066.0,2.08,7634124800.0,1717986918.0,28045312.0,100.0,10.5,26.0,4.0,0.0,4096.0,2313035776.0,9216.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,19.0.2,2023-01-17,3.4922305,73.98,63.394999999999996,5.85,0.04,653.5,16.405,2.27,7663.5,6.0,0.965,0.895,0.08,1.045,0.0,11.91,5.425000000000001,62.92,15.965,0.125,1.255,66.27,84.0,84.0,98.44999999999999,115.64500000000001,98.855,1.25,1.225,3.5355574865,0.99,0.63,0.11,0.03,0.29,63990496144.0,6928498405.84,40172311652.0,1917366864.3,18534546354.9,0.41,6.195,2.25,15997624036.0,3.5155000000000003,36306697031.0,0.10500000000000001,6.535,2.08,15997624036.0,36306697031.0,2.295,4534.07,1.2805,16143577898.0,3.4945,225.5,7593211437.0,92506954.5,4534.74,1.281,638.5,6221634391.5,8114360.0,0.0,7964138520.5,430123.5,430114.5,8.0,730126155.5,439425723.0,60.3945,8856363762.5,390917818.0,14791391.5,5816056.5,7243756.5,9370385769.5,8517184.5,41067.5,738291.0,2.15,7644688384.0,1717986918.0,28725248.0,106.7,10.5,26.0,2.0,0.0,4096.0,2315407360.0,10240.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,20.0.2,2023-07-18,3.5992955,74.52,63.745000000000005,5.92,0.04,633.5,16.21,2.335,6721.5,7.5,0.85,0.9199999999999999,0.10500000000000001,1.0150000000000001,0.0,11.395,6.06,62.989999999999995,15.96,0.15,1.2799999999999998,66.65,83.5,84.0,98.525,115.365,98.86500000000001,1.255,1.22,3.613340596,0.99,0.64,0.13,0.03,0.265,62905895292.0,7892885460.92,40226502170.759995,1878065644.98,16782479100.640001,0.4,6.1899999999999995,2.22,15726473823.0,3.452,36009516919.0,0.11,6.25,2.075,15726473823.0,36009516919.0,2.2649999999999997,4573.4,1.2690000000000001,15826789626.0,3.4725,218.0,7534095576.0,91647746.0,4574.16,1.2690000000000001,629.5,6723713699.0,8197417.0,0.0,7977311753.0,428635.5,428625.0,8.0,746531913.5,447496207.5,60.1015,9354667046.5,396120807.0,16502280.5,6205251.0,7186014.0,9788821720.0,8609331.0,57575.5,1013832.0,2.135,7506644992.0,1717986918.0,20770816.0,103.1,10.5,25.0,5.0,0.0,4096.0,2289577984.0,8192.0,0.0,1717986918.0
binaryTrees_21_v4_original_with_Multithreading,1.8.0_382,2023-07-18,2.9978805,97.42,87.38499999999999,6.605,0.08,2833.0,79.63,0.935,38129.5,11.0,0.305,0.33499999999999996,0.15,1.31,0.0,6.984999999999999,1.42,8.99,9.185,0.33499999999999996,1.03,9.805,92.0,94.5,97.455,349.26,99.14500000000001,2.375,2.315,3.026148291,0.99,0.255,0.09,0.01,0.65,258352649726.0,23017288265.82,65379942533.46001,2583526497.26,167929222321.90002,1.045,3.365,0.91,64588162431.5,3.3475,58630874290.5,0.04,10.295,1.88,64588162431.5,58630874290.5,0.9,19238.074999999997,6.357,64848169112.0,3.3675,379.5,34194210273.0,433072539.0,19239.019999999997,6.357,360.0,10032737357.0,37285526.5,0.0,12149405769.0,287688.0,287522.0,8.0,852505770.5,631056400.5,73.82300000000001,14691250217.0,462930000.0,28947196.5,19125836.0,11229196.5,14753163461.5,6606364.5,111407.5,209044.5,9.58,7541927936.0,635379712.0,18952192.0,487.5,3.8499999999999996,24.0,3.5,0.0,0.0,1194967040.0,0.0,0.0,635379712.0
binaryTrees_21_v4_original_with_Multithreading,9.0.4,2018-01-16,2.2119340000000003,77.14500000000001,69.38,5.835,0.07,2453.0,70.23,1.35,8292.5,53.0,0.43,0.37,0.28,2.0549999999999997,0.0,10.36,1.755,13.745000000000001,10.815000000000001,0.685,1.86,16.34,93.5,94.5,96.95,316.01,98.875,2.92,2.855,2.2076511875,0.99,0.36,0.09,0.01,0.54,157185558726.0,13995909861.119999,56455423936.72,1571855587.2600002,84880201712.04001,0.73,3.875,1.36,39296389681.5,3.194,52581254656.0,0.08,13.035,1.855,39296389681.5,52581254656.0,1.33,12139.535,5.5785,39320669289.5,3.1935000000000002,238.5,21021542700.5,263926031.5,12140.245,5.5794999999999995,757.0,8539087761.0,20271881.0,6.0,11597027273.5,590361.0,590302.0,8.0,837865263.0,587705751.5,70.5295,14533740651.5,470659984.5,26645402.0,13480252.5,21310835.0,14361250098.5,12234753.5,594337.0,347892.5,5.045,8426008576.0,1169770496.0,17901568.0,548.25,7.1499999999999995,36.5,3.5,0.0,0.0,1567158272.0,0.0,0.0,1169770496.0
binaryTrees_21_v4_original_with_Multithreading,10.0.2,2018-07-17,2.2086445,75.69999999999999,67.89,5.83,0.07,2396.5,69.77,1.3849999999999998,7823.5,39.0,0.52,0.455,0.28500000000000003,2.065,0.0,9.785,1.9899999999999998,14.65,11.165,0.52,1.815,16.6,91.5,95.0,96.85,314.72,98.745,2.935,2.895,2.2281813694999997,0.99,0.365,0.095,0.01,0.535,158509938540.0,14383071340.220001,57137048277.0,1585099385.4,83993548224.12,0.71,3.8449999999999998,1.38,39627484635.0,3.2215,54311376461.0,0.07,13.855,1.835,39627484635.0,54311376461.0,1.39,12418.325,5.552,39783096774.0,3.2560000000000002,265.0,21438029414.5,269528282.0,12419.05,5.552,750.5,8509584283.0,17524471.0,0.0,11538041829.0,571038.0,570878.0,8.0,831904884.0,575976848.5,69.907,15765034985.0,468518056.5,27026587.0,12699020.0,23622130.0,15569777629.0,11277489.5,635499.0,423731.0,5.07,8417693696.0,1179887616.0,18558976.0,553.9,7.25,37.0,2.0,0.0,0.0,1573400576.0,0.0,0.0,1179887616.0
binaryTrees_21_v4_original_with_Multithreading,11.0.20.1,2023-08-22,1.9680035,72.08500000000001,64.955,5.62,0.06,2551.0,69.27,1.14,7018.5,40.0,0.6799999999999999,0.585,0.255,1.82,0.0,12.585,1.1400000000000001,13.440000000000001,13.58,0.33,1.7850000000000001,15.145,91.5,92.5,96.87,320.80499999999995,98.735,2.9050000000000002,2.84,1.974815876,0.99,0.3,0.06,0.02,0.615,145492501146.0,8747208056.4,43735422981.14,2879774238.3599997,90302463763.9,0.865,4.005,1.185,36373125286.5,3.371,42281115278.5,0.09,14.614999999999998,1.9449999999999998,36373125286.5,42281115278.5,1.2,10800.895,5.4585,36588922145.0,3.411,260.0,19020321586.5,238037263.5,10801.58,5.459,501.5,6305617175.0,13622777.0,0.0,9384529850.0,601645.0,601453.0,8.0,820892168.0,584276178.5,71.2285,11523547037.5,459831503.5,30041705.5,14198642.0,28143685.0,11163905356.0,11277817.5,712027.5,661816.0,4.8149999999999995,7720402944.0,1382904217.5,28006400.0,458.55,8.25,26.0,2.5,0.0,0.0,2169997312.0,0.0,0.0,1382904217.5
binaryTrees_21_v4_original_with_Multithreading,12.0.2,2019-07-16,1.9659855,73.04,66.015,5.605,0.065,2592.0,69.21000000000001,1.135,7115.0,25.5,0.7949999999999999,0.485,0.25,1.855,0.0,11.725000000000001,1.26,13.809999999999999,12.365,0.325,1.56,16.6,91.5,93.0,96.885,315.345,98.60499999999999,3.06,2.955,1.970452369,0.99,0.3,0.07,0.01,0.6,144039476862.0,9948773668.54,43501292896.72,1484285735.26,86805980018.23999,0.86,3.935,1.145,36009869215.5,3.3120000000000003,42258549079.0,0.10500000000000001,14.045,1.9449999999999998,36009869215.5,42258549079.0,1.165,10872.595000000001,5.505,36484494907.0,3.3280000000000003,202.0,18753702201.0,233533272.5,10873.39,5.506,503.5,6348619557.5,11024880.0,0.0,9211950292.5,581037.0,580873.5,8.0,770155819.0,578514307.5,75.5755,11504856317.5,458700945.0,29381878.5,15091883.0,26194167.5,11397364378.5,10083610.5,605284.5,577795.0,4.805,7738068992.0,1248290816.0,26540032.0,447.95,7.6499999999999995,26.0,5.0,0.0,0.0,1832331264.0,0.0,0.0,1248290816.0
binaryTrees_21_v4_original_with_Multithreading,13.0.2,2020-01-14,1.9237845,72.725,65.685,5.58,0.065,2590.0,69.38,1.15,6811.5,35.0,0.455,0.475,0.265,1.7850000000000001,0.0,10.99,1.26,14.685,13.67,0.29,1.5950000000000002,15.01,93.0,93.5,96.825,325.35,99.035,2.9749999999999996,2.9000000000000004,1.937774779,0.99,0.3,0.07,0.02,0.6,141501264132.0,9871393565.04,42528581154.96,2787302423.84,84303529996.79999,0.87,3.9400000000000004,1.17,35375316033.0,3.277,41501223668.5,0.095,14.245000000000001,1.935,35375316033.0,41501223668.5,1.19,10725.235,5.561,35696275541.0,3.2960000000000003,180.0,18453981263.0,233710959.5,10725.98,5.561,538.0,6185585965.0,11191768.5,0.0,9171600431.5,573494.0,573363.5,8.0,758468611.0,574200811.5,75.799,11379947123.0,445171359.0,28117188.5,14392948.0,23316096.0,11253031541.0,9916604.5,482553.5,488303.5,4.86,7714979840.0,1248331776.0,26314752.0,441.25,7.6499999999999995,26.0,3.5,0.0,0.0,1832194048.0,0.0,0.0,1248331776.0
binaryTrees_21_v4_original_with_Multithreading,14.0.2,2020-07-14,1.896653,71.31,64.195,5.550000000000001,0.065,2593.5,70.095,1.1749999999999998,6690.0,41.0,1.1099999999999999,0.73,0.255,1.52,0.0,11.34,1.125,13.91,14.305,0.295,1.365,13.65,91.0,92.5,96.75,328.03,99.07,3.12,3.06,1.9367119604999998,0.99,0.305,0.07,0.015,0.605,141436542786.0,9525308054.5,43394421717.7,2080301927.46,86646004783.26001,0.84,3.925,1.19,35359135696.5,3.303,42860930130.5,0.08,14.149999999999999,1.935,35359135696.5,42860930130.5,1.19,10715.189999999999,5.5845,35841841234.0,3.3609999999999998,153.0,18602415430.0,232952957.0,10715.89,5.585000000000001,522.5,6228571212.0,10720869.0,0.0,9236018148.0,560101.0,560041.5,8.0,769549939.5,579362811.5,74.4965,11399670329.5,450982881.0,28782327.0,14712973.0,22848881.5,11245114263.0,10964751.5,519120.5,587073.0,4.86,7786119168.0,1082185318.0,26093568.0,428.04999999999995,6.45,27.0,4.0,0.0,0.0,1623783424.0,0.0,0.0,1082185318.0
binaryTrees_21_v4_original_with_Multithreading,15.0.2,2021-01-19,1.9403260000000002,69.81,62.849999999999994,5.59,0.07,2554.5,69.34,1.13,6417.0,7.5,1.135,0.58,0.24,1.7850000000000001,0.0,12.07,1.3050000000000002,13.565000000000001,13.865,0.27,1.71,14.95,93.0,94.5,96.63499999999999,322.36,98.425,3.27,2.995,1.926816254,0.99,0.295,0.06,0.01,0.615,142758074950.0,8375973266.639999,42964315077.56,1452851967.52,89224217679.76,0.885,3.87,1.15,35689518737.5,3.4025,41956615917.5,0.08499999999999999,14.095,1.9849999999999999,35689518737.5,41956615917.5,1.17,10600.945,5.505,35927161995.0,3.4269999999999996,205.0,18712296658.0,234513843.0,10601.619999999999,5.5055,524.5,6340649780.0,11385649.5,0.0,8899157008.5,560678.5,560605.5,8.0,776611704.5,573291071.0,73.6175,10283269621.0,444254336.0,24223104.5,12354916.5,18631229.5,10174218055.0,10028548.0,365141.0,717468.5,4.85,7779377152.0,1236291584.0,25303040.0,423.55,7.5,27.0,2.5,0.0,0.0,1829453824.0,0.0,0.0,1236291584.0
binaryTrees_21_v4_original_with_Multithreading,16.0.2,2021-07-20,1.893414,70.33,63.5,5.58,0.07,2616.0,69.94,1.0950000000000002,6758.5,32.5,1.225,0.585,0.245,1.67,0.0,11.41,1.9,12.615,14.2,0.22999999999999998,1.575,13.625,92.0,92.0,96.555,327.53,98.425,3.33,3.035,1.8837013025,0.99,0.28500000000000003,0.07,0.01,0.615,139921377250.0,9620860795.0,40359714208.8,1399213772.5,85763333164.18,0.905,3.825,1.1150000000000002,34980344312.5,3.3625,39881162031.0,0.07,13.97,1.96,34980344312.5,39881162031.0,1.14,10415.925,5.536,35262631956.0,3.3895,169.0,18363809967.0,231207610.5,10416.61,5.537,550.0,6914046945.5,11690064.0,0.0,8737462096.0,441097.0,441086.0,8.0,758446339.5,575142287.0,75.269,9296582999.0,441346256.5,24404836.0,12849007.5,15790017.5,9281346147.5,8937916.0,476605.0,862909.5,4.765,7837491200.0,1069762150.0,27103232.0,411.15,6.3,28.0,4.5,0.0,0.0,1623267328.0,0.0,0.0,1069762150.0
binaryTrees_21_v4_original_with_Multithreading,17.0.8.1,2023-08-22,1.872468,69.525,62.665000000000006,5.58,0.06,2634.0,70.63,1.11,6231.0,18.5,1.17,0.67,0.215,1.6400000000000001,0.0,10.695,1.72,12.795,14.350000000000001,0.20500000000000002,1.4,13.620000000000001,90.0,90.0,96.73,328.78,99.155,3.105,3.0549999999999997,1.8836163400000001,0.99,0.29,0.07,0.01,0.61,143641145078.0,10386032809.32,41299485883.5,1436411450.7800002,87107649745.66,0.905,3.8449999999999998,1.13,35910286269.5,3.3745000000000003,40172625390.0,0.08,14.045,1.955,35910286269.5,40172625390.0,1.15,10511.315,5.596,36084005071.5,3.383,175.5,18426687787.5,230026498.0,10511.965,5.5965,565.5,6892256970.0,9966255.5,0.0,8766541909.0,437864.5,437855.5,8.0,757229554.5,570169663.5,76.111,9336327537.5,428529410.5,22748565.5,11884458.0,16618075.0,9228346127.0,8859701.0,344922.5,543580.5,4.78,7907696640.0,1017973555.0,22208512.0,393.4,6.3,28.0,3.0,0.0,0.0,1631805440.0,0.0,0.0,1017973555.0
